,away_corner,away_half_score,away_rank,away_red,away_score,away_team,away_yellow,competition_id,home_corner,home_half_score,home_rank,home_red,home_score,home_team,home_yellow,match_id,open_date,season_id,season_name
89,-1,0,,0,0,10215,0,82,-1,0,,0,0,10135,0,100089,1064156700,376,2003-2004
90,-1,1,,0,2,10136,0,82,-1,1,,0,3,10215,0,100090,1064602800,376,2003-2004
91,-1,3,,0,4,10135,0,82,-1,0,,0,1,10247,0,100091,1064671200,376,2003-2004
92,-1,1,,0,1,10004,0,82,-1,0,,0,0,10182,0,100092,1064671200,376,2003-2004
93,-1,0,,0,0,10185,0,82,-1,1,,0,2,10008,0,100093,1064671200,376,2003-2004
94,-1,1,,0,1,10226,0,82,-1,0,,0,1,10007,0,100094,1064671200,376,2003-2004
95,-1,0,,0,0,10411,0,82,-1,1,,0,1,10180,0,100095,1064671200,376,2003-2004
96,-1,1,,0,2,10249,0,82,-1,2,,0,3,10179,0,100096,1064754000,376,2003-2004
97,-1,1,,0,2,10018,0,82,-1,0,,0,0,10006,0,100097,1064757600,376,2003-2004
98,-1,0,,0,0,10175,0,82,-1,3,,0,4,10250,0,100098,1064757600,376,2003-2004
99,-1,0,,0,0,10183,0,82,-1,0,,0,0,10181,0,100099,1064761500,376,2003-2004
100,-1,2,,0,2,10249,0,82,-1,1,,0,4,10215,0,100100,1081510200,376,2003-2004
101,-1,0,,0,1,10183,0,82,-1,3,,0,3,10250,0,100101,1081537200,376,2003-2004
102,-1,0,,0,0,10004,0,82,-1,0,,0,0,10180,0,100102,1081605600,376,2003-2004
103,-1,0,,0,2,10135,0,82,-1,1,,0,1,10008,0,100103,1081605600,376,2003-2004
104,-1,1,,0,2,10175,0,82,-1,0,,0,1,10006,0,100104,1081605600,376,2003-2004
105,-1,1,,0,2,10411,0,82,-1,0,,0,2,10007,0,100105,1081605600,376,2003-2004
106,-1,0,,0,1,10185,0,82,-1,1,,0,1,10179,0,100106,1081605600,376,2003-2004
107,-1,0,,0,2,10018,0,82,-1,0,,0,0,10247,0,100107,1081605600,376,2003-2004
108,-1,2,,0,3,10226,0,82,-1,2,,0,3,10181,0,100108,1081605600,376,2003-2004
109,-1,2,,0,3,10136,0,82,-1,2,,0,3,10182,0,100109,1084387500,376,2003-2004
110,-1,0,,0,0,10215,0,82,-1,0,,0,0,10136,0,100110,1081695900,376,2003-2004
111,-1,1,,0,2,10180,0,82,-1,1,,0,3,10411,0,100111,1081778400,376,2003-2004
112,-1,0,,0,1,10179,0,82,-1,0,,0,0,10249,0,100112,1081778400,376,2003-2004
113,-1,0,,0,1,10008,0,82,-1,1,,0,3,10185,0,100113,1081778400,376,2003-2004
114,-1,1,,0,1,10181,0,82,-1,0,,0,1,10183,0,100114,1081778400,376,2003-2004
115,-1,1,,0,2,10007,0,82,-1,1,,0,1,10226,0,100115,1081778400,376,2003-2004
116,-1,0,,0,1,10182,0,82,-1,2,,0,3,10004,0,100116,1081778400,376,2003-2004
117,-1,1,,0,4,10006,0,82,-1,2,,0,3,10018,0,100117,1081796400,376,2003-2004
118,-1,1,,0,1,10250,0,82,-1,0,,0,1,10175,0,100118,1081881900,376,2003-2004
119,-1,0,,0,0,10247,0,82,-1,0,,0,1,10135,0,100119,1081882800,376,2003-2004
120,-1,0,,0,0,10226,0,82,-1,2,,0,3,10215,0,100120,1072440000,376,2003-2004
121,-1,0,,0,0,10182,0,82,-1,1,,0,2,10018,0,100121,1072440000,376,2003-2004
122,-1,1,,0,2,10180,0,82,-1,2,,0,4,10179,0,100122,1072441800,376,2003-2004
123,-1,1,,0,1,10181,0,82,-1,0,,0,2,10008,0,100123,1072450800,376,2003-2004
124,-1,1,,0,2,10004,0,82,-1,1,,0,2,10006,0,100124,1072450800,376,2003-2004
125,-1,0,,0,0,10411,0,82,-1,0,,0,0,10175,0,100125,1072450800,376,2003-2004
126,-1,0,,0,1,10136,0,82,-1,0,,0,1,10247,0,100126,1072450800,376,2003-2004
127,-1,0,,0,1,10007,0,82,-1,1,,0,3,10249,0,100127,1072450800,376,2003-2004
128,-1,1,,0,2,10250,0,82,-1,2,,0,3,10135,0,100128,1072450800,376,2003-2004
129,-1,0,,0,0,10183,0,82,-1,0,,0,2,10185,0,100129,1072450800,376,2003-2004
130,-1,0,,0,0,10185,0,82,-1,0,,0,3,10180,0,100130,1072614600,376,2003-2004
131,-1,0,,0,1,10006,0,82,-1,0,,0,0,10136,0,100131,1072620000,376,2003-2004
132,-1,0,,0,0,10018,0,82,-1,1,,0,3,10411,0,100132,1072623600,376,2003-2004
133,-1,1,,0,2,10247,0,82,-1,1,,0,2,10007,0,100133,1072623600,376,2003-2004
134,-1,0,,0,0,10008,0,82,-1,0,,0,1,10250,0,100134,1072623600,376,2003-2004
135,-1,0,,0,2,10249,0,82,-1,1,,0,2,10181,0,100135,1072623600,376,2003-2004
136,-1,0,,0,1,10179,0,82,-1,0,,0,0,10183,0,100136,1072623600,376,2003-2004
137,-1,1,,0,1,10175,0,82,-1,1,,0,3,10226,0,100137,1072623600,376,2003-2004
138,-1,1,,0,1,10135,0,82,-1,0,,0,0,10004,0,100138,1072627500,376,2003-2004
139,-1,1,,0,1,10215,0,82,-1,0,,0,0,10182,0,100139,1072728000,376,2003-2004
140,-1,2,,0,2,10135,0,82,-1,0,,0,0,10411,0,100140,1084629600,376,2003-2004
141,-1,0,,0,1,10008,0,82,-1,1,,0,1,10006,0,100141,1084629600,376,2003-2004
142,-1,1,,0,2,10018,0,82,-1,0,,0,0,10007,0,100142,1084629600,376,2003-2004
143,-1,0,,0,1,10182,0,82,-1,1,,0,2,10179,0,100143,1084629600,376,2003-2004
144,-1,0,,0,0,10175,0,82,-1,1,,0,1,10180,0,100144,1084629600,376,2003-2004
145,-1,1,,0,1,10136,0,82,-1,0,,0,1,10249,0,100145,1084629600,376,2003-2004
146,-1,0,,0,1,10250,0,82,-1,3,,0,5,10181,0,100146,1084629600,376,2003-2004
147,-1,1,,0,1,10004,0,82,-1,3,,0,5,10185,0,100147,1084629600,376,2003-2004
148,-1,1,,0,2,10183,0,82,-1,0,,0,0,10226,0,100148,1084629600,376,2003-2004
149,-1,1,,0,1,10247,0,82,-1,0,,0,2,10215,0,100149,1084629600,376,2003-2004
150,-1,0,,0,1,10008,0,82,-1,0,,0,1,10226,0,100150,1068294600,376,2003-2004
151,-1,1,,0,1,10183,0,82,-1,0,,0,2,10215,0,100151,1068303600,376,2003-2004
152,-1,1,,0,2,10004,0,82,-1,0,,0,0,10411,0,100152,1068303600,376,2003-2004
153,-1,0,,0,0,10182,0,82,-1,0,,0,0,10007,0,100153,1068303600,376,2003-2004
154,-1,0,,0,1,10018,0,82,-1,1,,0,3,10179,0,100154,1068303600,376,2003-2004
155,-1,1,,0,1,10175,0,82,-1,2,,0,6,10185,0,100155,1068303600,376,2003-2004
156,-1,0,,0,2,10135,0,82,-1,0,,0,1,10249,0,100156,1068385500,376,2003-2004
157,-1,1,,0,3,10247,0,82,-1,0,,0,0,10181,0,100157,1068390000,376,2003-2004
158,-1,0,,0,0,10136,0,82,-1,3,,0,5,10180,0,100158,1068393900,376,2003-2004
159,-1,0,,0,1,10250,0,82,-1,2,,0,2,10006,0,100159,1068494400,376,2003-2004
160,-1,0,,0,1,10006,0,82,-1,2,,0,2,10135,0,100160,1069504200,376,2003-2004
161,-1,1,,0,3,10215,0,82,-1,0,,0,0,10008,0,100161,1069513200,376,2003-2004
162,-1,0,,0,0,10226,0,82,-1,2,,0,2,10250,0,100162,1069513200,376,2003-2004
163,-1,2,,0,2,10007,0,82,-1,0,,0,0,10175,0,100163,1069513200,376,2003-2004
164,-1,0,,0,1,10179,0,82,-1,1,,0,1,10247,0,100164,1069513200,376,2003-2004
165,-1,0,,0,0,10249,0,82,-1,0,,0,0,10004,0,100165,1069513200,376,2003-2004
166,-1,0,,0,0,10181,0,82,-1,0,,0,3,10136,0,100166,1069513200,376,2003-2004
167,-1,0,,0,1,10180,0,82,-1,0,,0,0,10182,0,100167,1069513200,376,2003-2004
168,-1,0,,0,1,10411,0,82,-1,0,,0,2,10183,0,100168,1069603500,376,2003-2004
169,-1,0,,0,0,10185,0,82,-1,2,,0,2,10018,0,100169,1069704000,376,2003-2004
170,-1,1,,0,1,10008,0,82,-1,0,,0,0,10007,0,100170,1067081400,376,2003-2004
171,-1,1,,0,1,10175,0,82,-1,1,,0,3,10249,0,100171,1067081400,376,2003-2004
172,-1,0,,0,0,10250,0,82,-1,0,,0,0,10411,0,100172,1067090400,376,2003-2004
173,-1,0,,0,0,10181,0,82,-1,1,,0,1,10180,0,100173,1067090400,376,2003-2004
174,-1,1,,0,3,10018,0,82,-1,1,,0,1,10135,0,100174,1067090400,376,2003-2004
175,-1,0,,0,0,10185,0,82,-1,2,,0,3,10136,0,100175,1067090400,376,2003-2004
176,-1,0,,0,0,10006,0,82,-1,0,,0,2,10182,0,100176,1067090400,376,2003-2004
177,-1,3,,0,3,10247,0,82,-1,0,,0,4,10226,0,100177,1067090400,376,2003-2004
178,-1,1,,0,1,10215,0,82,-1,1,,0,1,10179,0,100178,1067176800,376,2003-2004
179,-1,0,,0,0,10004,0,82,-1,0,,0,0,10183,0,100179,1067184300,376,2003-2004
180,-1,0,,0,1,10180,0,82,-1,0,,0,0,10250,0,100180,1067698800,376,2003-2004
181,-1,3,,0,4,10215,0,82,-1,0,,0,1,10175,0,100181,1067698800,376,2003-2004
182,-1,0,,0,0,10185,0,82,-1,1,,0,3,10135,0,100182,1067698800,376,2003-2004
183,-1,0,,0,0,10226,0,82,-1,0,,0,2,10004,0,100183,1067698800,376,2003-2004
184,-1,1,,0,1,10411,0,82,-1,1,,0,1,10136,0,100184,1067698800,376,2003-2004
185,-1,1,,0,2,10181,0,82,-1,0,,0,0,10182,0,100185,1067698800,376,2003-2004
186,-1,0,,0,1,10007,0,82,-1,0,,0,0,10183,0,100186,1067698800,376,2003-2004
187,-1,1,,0,2,10249,0,82,-1,1,,0,1,10018,0,100187,1067781600,376,2003-2004
188,-1,0,,0,0,10006,0,82,-1,0,,0,2,10247,0,100188,1067789100,376,2003-2004
189,-1,1,,0,2,10179,0,82,-1,0,,0,1,10008,0,100189,1067889600,376,2003-2004
190,-1,1,,0,2,10008,0,82,-1,0,,0,0,10247,0,100190,1071316800,376,2003-2004
191,-1,0,,0,1,10181,0,82,-1,2,,0,3,10135,0,100191,1071318600,376,2003-2004
192,-1,1,,0,2,10007,0,82,-1,1,,0,1,10180,0,100192,1071327600,376,2003-2004
193,-1,1,,0,2,10182,0,82,-1,0,,0,1,10249,0,100193,1071327600,376,2003-2004
194,-1,0,,0,0,10179,0,82,-1,0,,0,0,10004,0,100194,1071327600,376,2003-2004
195,-1,0,,0,0,10183,0,82,-1,1,,0,4,10136,0,100195,1071327600,376,2003-2004
196,-1,2,,0,2,10250,0,82,-1,1,,0,1,10185,0,100196,1071327600,376,2003-2004
197,-1,1,,0,2,10226,0,82,-1,2,,0,3,10411,0,100197,1071403200,376,2003-2004
198,-1,0,,0,0,10006,0,82,-1,1,,0,1,10215,0,100198,1071410400,376,2003-2004
199,-1,0,,0,2,10018,0,82,-1,1,,0,3,10175,0,100199,1071417900,376,2003-2004
200,-1,0,,0,2,10411,0,82,-1,0,,0,0,10006,0,100200,1071932400,376,2003-2004
201,-1,0,,0,1,10215,0,82,-1,0,,0,1,10007,0,100201,1071932400,376,2003-2004
202,-1,0,,0,0,10136,0,82,-1,0,,0,0,10179,0,100202,1071932400,376,2003-2004
203,-1,1,,0,2,10247,0,82,-1,1,,0,3,10250,0,100203,1071932400,376,2003-2004
204,-1,0,,0,1,10180,0,82,-1,0,,0,0,10018,0,100204,1071932400,376,2003-2004
205,-1,0,,0,0,10185,0,82,-1,1,,0,3,10182,0,100205,1072009800,376,2003-2004
206,-1,2,,0,2,10135,0,82,-1,0,,0,1,10183,0,100206,1072022700,376,2003-2004
207,-1,1,,0,1,10175,0,82,-1,0,,0,1,10181,0,100207,1072123200,376,2003-2004
208,-1,1,,0,1,10249,0,82,-1,0,,0,1,10226,0,100208,1074714300,376,2003-2004
209,-1,0,,0,1,10004,0,82,-1,1,,0,3,10008,0,100209,1078343100,376,2003-2004
210,-1,1,,0,1,10136,0,82,-1,1,,0,1,10226,0,100210,1070109000,376,2003-2004
211,-1,0,,0,0,10182,0,82,-1,1,,0,1,10411,0,100211,1070118000,376,2003-2004
212,-1,0,,0,0,10183,0,82,-1,0,,0,1,10006,0,100212,1070118000,376,2003-2004
213,-1,0,,0,0,10250,0,82,-1,1,,0,2,10007,0,100213,1070118000,376,2003-2004
214,-1,1,,0,1,10175,0,82,-1,0,,0,0,10179,0,100214,1070118000,376,2003-2004
215,-1,1,,0,2,10247,0,82,-1,0,,0,0,10185,0,100215,1070118000,376,2003-2004
216,-1,0,,0,0,10018,0,82,-1,0,,0,0,10215,0,100216,1070200800,376,2003-2004
217,-1,1,,0,1,10008,0,82,-1,1,,0,3,10249,0,100217,1070204400,376,2003-2004
218,-1,1,,0,1,10004,0,82,-1,0,,0,0,10181,0,100218,1070204400,376,2003-2004
219,-1,0,,0,0,10135,0,82,-1,1,,0,1,10180,0,100219,1070208300,376,2003-2004
220,-1,1,,0,1,10249,0,82,-1,0,,0,1,10136,0,100220,1070713800,376,2003-2004
221,-1,0,,0,4,10006,0,82,-1,0,,0,0,10008,0,100221,1070722800,376,2003-2004
222,-1,0,,0,1,10007,0,82,-1,0,,0,2,10018,0,100222,1070722800,376,2003-2004
223,-1,0,,0,1,10180,0,82,-1,1,,0,1,10175,0,100223,1070722800,376,2003-2004
224,-1,0,,0,1,10215,0,82,-1,0,,0,1,10247,0,100224,1070722800,376,2003-2004
225,-1,0,,0,0,10411,0,82,-1,2,,0,4,10135,0,100225,1070722800,376,2003-2004
226,-1,0,,0,0,10185,0,82,-1,0,,0,0,10004,0,100226,1070722800,376,2003-2004
227,-1,1,,0,2,10226,0,82,-1,1,,0,5,10183,0,100227,1070722800,376,2003-2004
228,-1,0,,0,0,10181,0,82,-1,0,,0,0,10250,0,100228,1070805600,376,2003-2004
229,-1,0,,0,2,10179,0,82,-1,2,,0,3,10182,0,100229,1070813100,376,2003-2004
230,-1,1,,0,1,10175,0,82,-1,1,,0,4,10008,0,100230,1080390600,376,2003-2004
