,match_id,status,competition_id,open_date,home_team,away_team,home_rank,home_score,home_half_score,home_red,home_yellow,home_corner,away_rank,away_score,away_half_score,away_red,away_yellow,away_corner
3217,103218,8,82,1319905800,10005,10249,12,0,0,0,1,0,6,2,2,0,0,0
3218,103219,8,82,1319990400,10183,10290,6,3,2,0,0,0,12,1,0,0,0,0
3219,103220,8,82,1320091200,10246,10136,11,1,0,0,0,0,4,3,2,0,1,0
3220,103221,8,82,1320497100,10136,10250,3,2,2,0,2,0,16,1,1,0,3,0
3221,103222,8,82,1320505200,10215,10005,7,3,2,0,0,0,13,0,0,0,0,0
3222,103223,8,82,1320505200,10135,10024,2,1,1,0,0,0,14,0,0,0,2,0
3223,103224,8,82,1320505200,10249,11844,6,0,0,0,2,0,10,0,0,0,1,0
3224,103225,8,82,1320505200,10006,10180,18,0,0,0,4,0,4,1,0,0,2,0
3225,103226,8,82,1320505200,10411,10184,9,3,1,0,1,0,8,2,1,0,5,0
3226,103227,8,82,1320514200,10290,10181,12,2,1,0,1,0,1,3,1,0,1,0
3227,103228,8,82,1320586200,10226,10248,17,3,1,0,2,0,20,1,1,0,1,0
3228,103229,8,82,1320591600,10007,10246,19,5,2,0,0,0,11,0,0,0,1,0
3229,103230,8,82,1320595200,10018,10183,15,1,0,0,0,0,5,3,2,0,1,0
3230,103231,8,82,1324134000,10226,10246,17,1,1,0,2,0,8,2,0,0,3,0
3231,103232,8,82,1324134000,10018,10007,14,2,2,0,1,0,20,0,0,0,3,0
3232,103233,8,82,1324134000,10136,11844,7,0,0,0,1,0,11,0,0,0,1,0
3233,103234,8,82,1324134000,10006,10005,19,1,0,0,1,0,15,2,0,0,1,0
3234,103235,8,82,1324134000,10250,10184,12,1,0,0,1,0,10,1,1,0,1,0
3235,103236,8,82,1324143000,10248,10180,18,1,0,0,0,0,3,1,0,0,0,0
3236,103237,8,82,1324209600,10290,10135,15,0,0,0,1,0,2,2,1,0,2,0
3237,103238,8,82,1324217100,10411,10249,10,0,0,0,1,0,7,2,2,0,2,0
3238,103239,8,82,1324220400,10183,10024,4,1,0,0,1,0,16,0,0,0,2,0
3239,103240,8,82,1324224600,10181,10215,1,1,0,0,2,0,5,0,0,0,3,0
3240,103241,8,82,1324410300,10226,10184,17,2,1,0,3,0,9,2,1,0,1,0
3241,103242,8,82,1324411200,10006,10007,19,1,0,0,3,0,20,2,2,0,0,0
3242,103243,8,82,1324496700,10411,10215,10,1,0,1,2,0,5,2,1,0,3,0
3243,103244,8,82,1324496700,10181,10246,1,3,2,0,2,0,8,0,0,0,1,0
3244,103245,8,82,1324496700,10136,10005,7,2,1,0,1,0,13,3,2,0,0,0
3245,103246,8,82,1324497600,10018,10135,11,0,0,0,1,0,2,5,3,0,0,0
3246,103247,8,82,1324497600,10290,10024,15,2,0,0,2,0,17,3,1,0,2,0
3247,103248,8,82,1324497600,10248,10249,18,0,0,0,1,0,6,0,0,0,2,0
3248,103249,8,82,1324497600,10250,11844,14,1,0,0,1,0,12,0,0,0,2,0
3249,103250,8,82,1324584000,10183,10180,3,1,1,0,2,0,4,1,1,0,2,0
3250,103251,8,82,1322916300,10136,10180,4,0,0,0,2,0,5,3,1,0,3,0
