,match_id,match_count,model_count,change_count,league_count,won,drawn,lost
3882,104400,5346,1501,649,3,0.840000,0.100000,0.060000
3883,104401,13701,717,837,12,0.160000,0.190000,0.650000
3884,104402,24584,1625,898,14,0.200000,0.220000,0.580000
3885,104403,137140,14702,1002,16,0.320000,0.270000,0.410000
3886,104404,131904,21571,994,6,0.490000,0.270000,0.240000
3887,104405,33532,7599,915,31,0.680000,0.200000,0.120000
3888,104406,33525,7597,915,24,0.680000,0.200000,0.120000
3889,104407,160829,25475,1006,32,0.480000,0.270000,0.250000
3890,104408,27303,6351,885,3,0.700000,0.190000,0.110000
3891,104409,10891,531,797,10,0.150000,0.180000,0.670000
3892,104410,208032,28332,1040,6,0.410000,0.280000,0.310000
3893,104411,88758,16813,996,33,0.570000,0.240000,0.190000
3894,104412,71737,6552,948,16,0.270000,0.260000,0.470000
3895,104413,32402,2227,927,32,0.210000,0.230000,0.560000
3896,104414,158179,24335,997,34,0.460000,0.280000,0.260000
3897,104415,173620,24852,998,31,0.430000,0.290000,0.280000
3898,104416,55024,4646,940,34,0.250000,0.250000,0.500000
3899,104417,1201,352,250,31,0.880000,0.070000,0.050000
3900,104418,128534,21417,988,29,0.500000,0.270000,0.230000
3901,104419,42433,9277,933,1,0.660000,0.210000,0.130000
3902,104420,17306,4223,837,29,0.730000,0.160000,0.110000
3903,104421,209319,29059,1028,6,0.420000,0.280000,0.300000
3904,104422,13701,717,837,12,0.160000,0.190000,0.650000
3905,104423,173620,24852,998,31,0.430000,0.290000,0.280000
3906,104424,7126,1931,704,28,0.810000,0.120000,0.070000
3907,104425,8270,2186,707,2,0.790000,0.130000,0.080000
3908,104426,105276,10461,964,15,0.300000,0.270000,0.430000
3909,104427,43312,3309,944,22,0.230000,0.240000,0.530000
3910,104428,113012,19717,991,29,0.520000,0.260000,0.220000
3911,104429,27312,6352,885,12,0.700000,0.190000,0.110000
3912,104430,24590,1626,898,20,0.200000,0.220000,0.580000
3913,104431,113012,19717,991,29,0.520000,0.260000,0.220000
3914,104432,158179,24335,997,34,0.460000,0.280000,0.260000
3915,104433,207500,27848,1035,20,0.400000,0.280000,0.320000
3916,104434,203607,28051,1024,27,0.410000,0.290000,0.300000
3917,104435,209319,29059,1028,6,0.420000,0.280000,0.300000
3918,104436,128534,21417,988,29,0.500000,0.270000,0.230000
3919,104437,109540,18533,976,28,0.510000,0.260000,0.230000
3920,104438,81075,15039,979,33,0.560000,0.250000,0.190000
3921,104439,18322,1040,884,31,0.170000,0.200000,0.630000
3922,104440,4151,1148,558,17,0.830000,0.110000,0.060000
3923,104441,43312,3309,944,22,0.230000,0.240000,0.530000
3924,104442,170539,25662,998,31,0.450000,0.280000,0.270000
3925,104443,16552,4146,842,16,0.750000,0.150000,0.100000
3926,104444,128534,21417,988,29,0.500000,0.270000,0.230000
3927,104445,126201,20945,983,36,0.500000,0.270000,0.230000
3928,104446,17306,4223,837,29,0.730000,0.160000,0.110000
3929,104447,158179,24335,997,34,0.460000,0.280000,0.260000
3930,104448,5346,1501,649,3,0.840000,0.100000,0.060000
3931,104449,32423,2231,928,14,0.210000,0.230000,0.560000
3932,104450,207500,27848,1035,20,0.400000,0.280000,0.320000
3933,104451,8653,389,767,34,0.130000,0.160000,0.710000
3934,104452,42433,9277,933,1,0.660000,0.210000,0.130000
3935,104453,158509,24964,1002,13,0.470000,0.280000,0.250000
3936,104454,128534,21417,988,29,0.500000,0.270000,0.230000
3937,104455,8270,2186,707,2,0.790000,0.130000,0.080000
3938,104456,10897,532,797,16,0.150000,0.180000,0.670000
3939,104457,204156,27271,1033,30,0.400000,0.290000,0.310000
3940,104458,54188,4585,928,17,0.250000,0.260000,0.490000
3941,104459,128534,21417,988,29,0.500000,0.270000,0.230000
3942,104460,128534,21417,988,29,0.500000,0.270000,0.230000
3943,104461,70283,6442,945,5,0.270000,0.260000,0.470000
3944,104462,42433,9277,933,1,0.660000,0.210000,0.130000
3945,104463,81077,15039,979,35,0.560000,0.250000,0.190000
3946,104464,8270,2186,707,2,0.790000,0.130000,0.080000
3947,104465,207500,27848,1035,20,0.400000,0.280000,0.320000
3948,104466,81077,15039,979,35,0.560000,0.250000,0.190000
3949,104467,43478,3316,948,32,0.230000,0.240000,0.530000
3950,104468,13701,717,837,12,0.160000,0.190000,0.650000
3951,104469,203030,26464,1029,35,0.390000,0.290000,0.320000
3952,104470,66200,13337,973,17,0.600000,0.230000,0.170000
3953,104471,17306,4223,837,29,0.730000,0.160000,0.110000
3954,104472,109310,18471,976,32,0.510000,0.260000,0.230000
3955,104473,131539,21401,991,31,0.490000,0.270000,0.240000
3956,104474,23096,1439,899,8,0.190000,0.220000,0.590000
