,match_id,type,team_info,won_count,drawn_count,lost_count,rate
362,100090,2,1,8,5,2,0.533300
363,100090,2,2,4,5,6,0.266700
364,100091,1,1,1,3,8,0.083300
365,100091,1,2,8,3,1,0.666700
366,100091,2,1,4,5,6,0.266700
367,100091,2,2,12,2,1,0.800000
368,100092,1,1,5,6,3,0.357100
369,100092,1,2,3,6,5,0.214300
370,100092,2,1,5,7,3,0.333300
371,100092,2,2,3,4,8,0.200000
372,100093,1,1,0,0,0,0.000000
373,100093,1,2,0,0,0,0.000000
374,100093,2,1,8,3,4,0.533300
375,100093,2,2,3,3,1,0.428600
376,100094,1,1,0,0,0,0.000000
377,100094,1,2,0,0,0,0.000000
378,100094,2,1,6,6,3,0.400000
379,100094,2,2,1,1,5,0.142900
380,100095,1,1,8,4,4,0.500000
381,100095,1,2,4,4,8,0.250000
382,100095,2,1,11,2,2,0.733300
383,100095,2,2,5,5,5,0.333300
384,100096,1,1,2,1,5,0.250000
385,100096,1,2,5,1,2,0.625000
386,100096,2,1,2,4,9,0.133300
387,100096,2,2,8,3,4,0.533300
388,100097,1,1,3,0,1,0.750000
389,100097,1,2,1,0,3,0.250000
390,100097,2,1,6,4,5,0.400000
391,100097,2,2,5,4,6,0.333300
392,100098,1,1,4,8,4,0.250000
393,100098,1,2,4,8,4,0.250000
394,100098,2,1,5,2,8,0.333300
395,100098,2,2,5,4,6,0.333300
396,100099,1,1,2,1,3,0.333300
397,100099,1,2,3,1,2,0.500000
398,100099,2,1,7,3,5,0.466700
399,100099,2,2,4,2,9,0.266700
400,100100,1,1,3,6,8,0.176500
401,100100,1,2,8,6,3,0.470600
402,100100,2,1,10,2,3,0.666700
403,100100,2,2,6,6,3,0.400000
404,100101,1,1,1,9,7,0.058800
405,100101,1,2,7,9,1,0.411800
406,100101,2,1,3,7,5,0.200000
407,100101,2,2,7,2,6,0.466700
408,100102,1,1,8,4,3,0.533300
409,100102,1,2,3,4,8,0.200000
410,100102,2,1,10,3,2,0.666700
411,100102,2,2,8,2,5,0.533300
412,100103,1,1,0,0,3,0.000000
413,100103,1,2,3,0,0,1.000000
414,100103,2,1,5,7,3,0.333300
415,100103,2,2,7,4,4,0.466700
